id,title,type,genres,averageRating,numVotes,releaseYear
tt0116860,"Pretty Village, Pretty Flame",movie,"Drama, History, War",8.6,18020,1996
tt10590066,"All Creatures Great and Small",tvSeries,"Comedy, Drama",8.6,17926,2020
tt9814458,"Bandish Bandits",tvSeries,"Drama, Music, Romance",8.6,17855,2020
tt0271383,"A Dog's Will",movie,"Comedy, Drama, Fantasy",8.6,17499,2000
tt3671754,"Kardes Payi",tvSeries,"Comedy, Drama, Family",8.6,17433,2014
tt0203082,"Rurouni Kenshin: Trust and Betrayal",tvMiniSeries,"Action, Adventure, Animation",8.6,16577,1999
tt0403778,"Long Way Round",tvMiniSeries,"Adventure, Documentary",8.6,15513,2004
tt17513352,"Twenty Five Twenty One",tvSeries,"Drama, Romance",8.6,15299,2022
tt15614372,"Tear Along the Dotted Line",tvMiniSeries,"Animation, Comedy, Drama",8.6,15101,2021
tt6385540,Hilda,tvSeries,"Adventure, Animation, Drama",8.6,14425,2018
tt0120570,"From the Earth to the Moon",tvMiniSeries,"Action, Drama, History",8.6,13461,1998
tt0086831,"Yes, Prime Minister",tvSeries,Comedy,8.6,13248,1986
